unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11022228,JA353093,2014-08-13 12:00:00+00:00,104XX S COTTAGE GROVE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,512,5,9,50,11,,,2014,2017-07-19 15:55:33+00:00,,,
10916475,JA229606,2008-04-01 22:40:00+00:00,086XX S DORCHESTER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,412,4,8,45,11,,,2008,2017-04-19 15:53:51+00:00,,,
2569106,HJ154688,2003-01-29 23:30:00+00:00,078XX S STONY ISLAND AV ER,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,PARKING LOT/GARAGE(NON.RESID.),False,False,411,4,5,45,02,,,2003,2015-08-17 15:03:40+00:00,,,
10536568,HZ280486,2014-01-03 18:09:00+00:00,050XX S ARCHER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,815,8,14,57,11,,,2014,2016-05-27 15:48:00+00:00,,,
10793687,HZ563228,2013-01-01 00:01:00+00:00,074XX N HARLEM AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1611,16,41,9,11,,,2013,2016-12-25 15:51:54+00:00,,,
11219248,JB136306,2017-08-11 00:00:00+00:00,054XX W GETTYSBURG ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1623,16,45,11,11,,,2017,2018-02-01 15:56:46+00:00,,,
2436928,HH757402,2002-11-04 02:33:43+00:00,054XX N ST LOUIS AVE,1020,ARSON,BY FIRE,PARKING LOT/GARAGE(NON.RESID.),False,False,1712,17,39,13,09,,,2002,2015-08-17 15:03:40+00:00,,,
8365448,HT598687,2009-01-01 15:00:00+00:00,094XX S PAXTON AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,413,4,7,48,17,,,2009,2015-08-17 15:03:40+00:00,,,
11224243,JA539162,2017-12-06 14:04:36+00:00,032XX S BELL AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,True,False,912,9,12,59,18,,,2017,2018-03-31 15:53:03+00:00,,,
11703068,JC282339,2019-05-21 14:30:00+00:00,021XX S CHINA PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,914,9,25,34,11,1174606.0,1890151.0,2019,2019-06-30 15:56:27+00:00,41.853969331,-87.634610162,"(41.853969331, -87.634610162)"
