unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11234034,JB156576,2017-06-24 09:00:00+00:00,048XX N AUSTIN AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER,False,False,1622,16,45,11,11,,,2017,2018-02-19 15:55:38+00:00,,,
11640612,JC206563,2018-06-01 00:01:00+00:00,067XX W RASCHER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1613,16,41,10,11,,,2018,2019-04-01 16:21:13+00:00,,,
10814111,JA113460,2009-05-11 12:00:00+00:00,095XX S WOODLAWN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,511,5,8,50,11,,,2009,2017-01-13 15:54:40+00:00,,,
10523730,HZ266367,2010-03-21 09:00:00+00:00,039XX S LAKE PARK AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,214,2,4,36,11,,,2010,2016-05-16 15:50:35+00:00,,,
11179364,JA551561,2015-06-01 09:00:00+00:00,114XX S ST LAWRENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,531,5,9,50,11,,,2015,2017-12-17 15:49:05+00:00,,,
6736023,HR134173,2009-01-22 18:58:00+00:00,097XX S EWING AVE,2012,NARCOTICS,MANU/DELIVER:COCAINE,VEHICLE NON-COMMERCIAL,True,False,432,4,10,52,18,,,2009,2015-08-17 15:03:40+00:00,,,
10272044,HY460274,2009-02-01 00:00:00+00:00,103XX S GREEN BAY AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,432,4,10,52,02,,,2009,2015-10-14 15:52:42+00:00,,,
11735473,JC321584,2019-06-25 16:00:00+00:00,061XX N PULASKI RD,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,NURSING HOME/RETIREMENT HOME,False,False,1711,17,39,13,17,1148568.0,1940518.0,2019,2019-07-02 16:20:54+00:00,41.992722683,-87.728876924,"(41.992722683, -87.728876924)"
11727609,JC312341,2019-06-18 23:08:00+00:00,080XX S STONY ISLAND AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,STREET,True,False,411,4,8,45,26,1188226.0,1852187.0,2019,2019-07-10 16:06:15+00:00,41.749478487,-87.585832169,"(41.749478487, -87.585832169)"
11744596,JC333029,2019-07-02 10:00:00+00:00,056XX N KIMBALL AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,False,False,1711,17,39,13,10,1152700.0,1937173.0,2019,2019-07-19 16:09:50+00:00,41.983462787,-87.713766904,"(41.983462787, -87.713766904)"
